# Nr. epochs: 1000
# Batch size: 20
# Test size: 0.2
# Total iterations: 16000
# Lambda: 1.0
# Eta: 1.0
# 
# Activation function: sigmoid
# Output function: linear
# Loss function: mse
# Optimizer: plain
# 
# Train loss:  3.20
# Test loss:  3.05
# 
0.000000000000000000e+00,1.000000000000000062e-09,1.000000000000000021e-08,9.999999999999999547e-08,9.999999999999999547e-07,1.000000000000000082e-05,1.000000000000000048e-04,1.000000000000000021e-03,1.000000000000000021e-02,1.000000000000000056e-01,1.000000000000000000e+00
1.000000000000000062e-09,6.054720305331768859e-01,3.325334330531135585e-01,7.029268041294050029e-01,2.593045674458774208e+00,1.825638736183591293e+00,1.368815567340353256e+00,4.524389787512668626e+00,8.489525327305800229e-01,2.288320421488470924e+00,7.302858686661346521e-01
1.000000000000000021e-08,3.987494629858763240e+00,4.272486663107509797e-01,5.878330059374190064e+00,7.435386296966458586e-01,7.367662910850231173e-01,4.592995082513727789e-01,1.569353734678907708e+00,1.054964813874783136e+00,2.238954197878510577e+00,1.683993311419145211e+00
9.999999999999999547e-08,3.584987329479122131e+00,7.714851050674852440e-01,5.119876748655082244e-01,6.030049834386118635e-01,7.896116921520016652e-01,1.641815877757644371e+00,4.282747594720836548e-01,5.636838442052993781e-01,6.839015188375133780e-01,1.960511482227830005e+00
9.999999999999999547e-07,5.341213668719678731e-01,8.569531622018802253e-01,6.641376294573158034e+00,1.314045049053901515e+00,6.132388444675153316e+00,1.479102081713307149e+00,1.247866087580171257e+00,7.575940943183185894e-01,6.649533329801060599e-01,5.021037893838607991e-01
1.000000000000000082e-05,4.314358413964060612e-01,4.476396389986054269e-01,6.382206193886839074e-01,3.909702683659856959e-01,6.497543259688345341e-01,5.487896267139953377e-01,4.613684780109929551e-01,5.373163391010293832e-01,4.581589304870444801e-01,5.271906210919323765e-01
1.000000000000000048e-04,5.326099969813776758e-01,3.287439394988180830e-01,4.929217725103193781e-01,5.266925208207154929e-01,4.780967935383618195e-01,4.974201306356359487e-01,4.173931450468358895e-01,4.726458042549100957e-01,4.238808720276638908e-01,5.489477335640535749e-01
1.000000000000000021e-03,1.319568930785889882e-01,3.497577940224417814e-01,1.371566521372103442e-01,1.577123235026883230e-01,1.440606814943909686e-01,1.210680830716734518e-01,4.534661102602213778e-01,2.867686663877361819e-01,5.052492440004550112e-01,3.912001690433600243e-01
1.000000000000000021e-02,9.123773862460635153e-02,5.869617169346104391e-02,8.964991502133468071e-02,8.641177978698652562e-02,1.437857040561976996e-01,1.449259337364489642e-01,4.923032533013888684e-02,8.670058363220639608e-02,4.233864386628629073e-01,4.927819505992888649e-01
1.000000000000000056e-01,1.005924569932332979e-02,6.553585933044575422e-03,2.403405168828173788e-02,8.360905920127111729e-03,1.537648986322654940e-02,1.613801015032908376e-02,3.424991267150415825e-02,1.541169281668340330e-01,6.104354741857616062e-01,5.186603872022750306e-01
1.000000000000000000e+00,2.128488562756063462e+00,4.394913611948890519e+00,1.681566415901414757e+02,1.111009707131589197e+00,7.218121962228197797e-01,2.713805720576343283e+00,4.438782885403311340e+00,9.829445710923551127e-01,3.888664687872996351e-01,3.048986861721565411e+00
